Prefix,Class Number,Class Name,Credits
CRJ,128,Victimology,3
CRJ,141,Criminal Investigation,3
CRJ,178,E-Crime Investigative Methods,3
CRJ,179,White Collar Crime,1
CRJ,196,Crime Scene Investigation 1,2
CRJ,197,Crime Scene Investigation 2,2
CRJ,200,Criminology,3
CRJ,201,Juvenile Delinquency,3
CRJ,220,Community-Based Corrections,3
CRJ,222,Correctional Treatment Method,3
CRJ,237,Criminal & Constitutional Law,3
CRJ,245,Scientific Investigation,3
CRJ,292,Police Phys Fitness and Cond,1
CRJ,293,Crim Justice Report Writing,1
CRJ,294,CJ Communication Strategies,3
CRJ,296,Latent Friction Ridge Evidenc,1
CRJ,297,Death & Injury Investigations,1
CRJ,298,Bloodstain Pattern Analysis,1
CRJ,301,Intro to Homeland Security,3
CRJ,302,Transportation & Border Sec,3
CRJ,303,Intel Analysis & Sec Mgmt,3
CRJ,305,Introduction to Cyber Terrorism,3
CRJ,325,Intro to Emergency Management,3
CRJ,326,Emergency Planning,3
CRJ,327,Exercise Design & Evaluation,3
CRJ,328,Disaster Response & Recovery,3
CRJ,329,Mitigation,3
CRJ,333,CSI & Forensic Photography,2
CRJ,932,Internship,3
CRJ,949,Special Topics,3
DAT,201,Data Science I,3
DAT,202,Data Science II,3
DAT,303,Data Science III,3
DAT,500,SAS Visual Analytics,3
DEA,253,Dental Science I,4
DEA,256,Dental Anatomy,2
DEA,263,Dental Science II,2
DEA,297,Ethics/Jurisprudence Seminar,1
DEA,321,Dental Radiography II,2
DEA,424,Dental Materials Lab,1
DEA,507,Princ of Dental Assisting,6
DEA,576,Dental Assisting Clinic I,3
DEA,577,Dental Assisting Clinic II,4
DEA,591,Dental Assisting Seminar,1
DEA,615,Clinical Dental Assisting,5
DEA,702,Dental Office Procedures,2
DSL,114,Shop Fund & Minor Service,4
DSL,145,Basic Electricity,5
DSL,155,Advanced Electricity,4
DSL,163,Engine Repair,3
DSL,330,Diesel Engine Tune-Up,3
DSL,356,Diesel Engines I,6
DSL,366,Diesel Engines II,6
DSL,409,Diesel Electronics,5
DSL,438,Diesel Fuel Systems,5
DSL,541,Equipment Power Trains,6
DSL,546,Power Trains I,6
DSL,555,Power Trains II,5
DSL,604,Power Equipment Hydraulics,4
DSL,606,Hydraulics and Brakes,6
DSL,733,Air Conditioning,3
DSL,830,Operation & Maintenance,5
DSL,845,Heavy Equipment Repair,5
DSL,855,Truck Repair,5
DSL,912,Fuel Systems,2
DSL,913,Small Engines,3
DRA,101,Introduction to Theatre,3
DRA,105,Budgeting for Artists,1
DRA,111,Survey of Musical Theatre,3
DRA,125,Introduction to Play Analysis,3
DRA,127,Stage Combat,3
DRA,130,Acting I,3
DRA,132,Acting II,3
DRA,134,Improvisational Acting,3
DRA,139,Acting for the Camera,3
DRA,143,The Business of Acting,3
DRA,147,Creative Drama School/Rec,3
DRA,148,Voice & Movement,3
DRA,162,Technical Theatre,3
DRA,180,Theatre Lab I,1
DRA,181,Theatre Lab II,1
DRA,199,Musical Theatre Dance,3
DRA,201,Fundamental Arts Management,3
DRA,202,Design Principles,3
DRA,222,Performing Shakespeare,3
DRA,223,Performing Musical Theatre,3
DRA,224,Musical Theatre Auditions,3
DRA,240,Stage Management,3
DRA,250,Directing,3
DRA,252,Playwriting,3
DRA,280,Theatre Lab III,1
DRA,281,Theatre Lab IV,1
DRA,945,Practicum I,2
DRA,946,Practicum II,3
DRA,948,Practicum III,4
ECE,103,Intro to Early Childhood Ed,3
ECE,106,Child Dev. Associate Standards,1
ECE,114,Dual Language Learners in ECE,3
ECE,130,Emergency Care,1
ECE,133,"Child Health, Safety & Nutrition",3
ECE,151,Individualizing for Children,3
ECE,152,Learning with Digital Media,3
ECE,158,Early Childhood Curriculum I,3
ECE,159,Early Childhood Curriculum II,3
ECE,170,Child Growth & Development,3
ECE,215,"Home, School & Comm Relations",3
ECE,221,Infant/Toddler Care and Educ.,3
ECE,242,Child Life Theory,3
ECE,243,Early Childhood Guidance,3
ECE,268,Early Childhood Field Exper,4
ECE,281,Practicum,2
ECE,290,Early Childhood Program Admin,3
ECE,343,Early Childhood Guidance Lab,1
ECE,359,ECE Curriculum II Lab,1
ECE,930,Administrative Practicum,1
ECE,932,Internship,2
ECN,120,Principles of Macroeconomics,3
ECN,130,Principles of Microeconomics,3
EDU,210,Foundations of Education,3
EDU,213,Intro to Education,3
EDU,218,Initial Field Experience,2
EDU,245,Exceptional Learner,3
EDU,252,Communication and Collaborative Partnerships,3
EDU,253,Behavior Management and Social Interaction Skills,3
EDU,255,Technology in the Classroom,3
